FIPS_STATE,INSURANCE,FIPS_COUNTY,AGECAT2,AGECAT6,RACECAT,SEXCAT,DEMENTIACAT,atc,bene_cnt,inc_cnt,prev_cnt,covid_cnt,mort_cnt
01,,27,1,3,,,,,545,33,93,14,17
01,,27,1,4,,,,,381,32,92,21,18
01,,27,1,5,,,,,329,33,136,29,50
01,,29,0,0,,,,,681,16,31,,
01,,29,1,1,,,,,754,13,31,,
01,,29,1,2,,,,,778,26,59,,
01,,29,1,3,,,,,515,25,87,18,11
01,,29,1,4,,,,,345,29,88,16,18
01,,29,1,5,,,,,302,38,132,33,46
01,,31,0,0,,,,,1879,34,116,,11
01,,31,1,1,,,,,2457,45,122,,15
01,,31,1,2,,,,,2499,79,222,24,18
01,,31,1,3,,,,,1637,93,268,21,45
01,,31,1,4,,,,,1143,81,277,32,43
01,,31,1,5,,,,,1028,128,432,40,108
01,,33,0,0,,,,,2775,37,128,22,13
01,,33,1,1,,,,,2915,53,143,14,25
01,,33,1,2,,,,,2988,95,278,43,31
01,,33,1,3,,,,,2068,126,377,46,65
01,,33,1,4,,,,,1412,116,318,39,52
01,,33,1,5,,,,,1304,162,543,81,141
01,,35,0,0,,,,,859,13,45,,
01,,35,1,1,,,,,713,15,49,,
01,,35,1,2,,,,,698,26,77,15,17
01,,35,1,3,,,,,499,28,92,13,17
01,,35,1,4,,,,,305,17,68,,13
01,,35,1,5,,,,,282,40,131,14,25
01,,37,0,0,,,,,829,11,25,,
01,,37,1,1,,,,,699,16,31,,
01,,37,1,2,,,,,626,24,54,,
01,,37,1,3,,,,,411,13,62,,13
01,,37,1,4,,,,,208,14,55,,13
01,,37,1,5,,,,,218,23,83,,15
01,,39,0,0,,,,,2119,45,143,23,13
01,,39,1,1,,,,,2097,42,126,17,15
01,,39,1,2,,,,,2202,65,228,30,35
01,,39,1,3,,,,,1575,84,270,44,40
01,,39,1,4,,,,,1047,79,285,63,46
01,,39,1,5,,,,,1033,114,442,107,107
01,,41,0,0,,,,,692,21,54,,
01,,41,1,1,,,,,785,14,42,,
01,,41,1,2,,,,,829,30,112,15,16
01,,41,1,3,,,,,519,25,84,12,11
01,,41,1,4,,,,,356,35,106,16,21
01,,41,1,5,,,,,339,46,148,28,33
01,,43,0,0,,,,,3783,93,269,24,15
01,,43,1,1,,,,,4323,96,244,20,26
01,,43,1,2,,,,,4637,166,443,56,62
01,,43,1,3,,,,,3195,153,462,47,70
01,,43,1,4,,,,,2141,215,559,73,122
01,,43,1,5,,,,,1804,248,713,105,198
01,,45,0,0,,,,,2492,36,137,21,
01,,45,1,1,,,,,2373,51,137,27,
01,,45,1,2,,,,,2447,77,231,32,24
01,,45,1,3,,,,,1769,108,280,47,41
01,,45,1,4,,,,,1302,105,339,48,54
01,,45,1,5,,,,,1151,152,510,95,147
01,,47,0,0,,,,,3114,58,185,35,26
01,,47,1,1,,,,,2277,54,146,31,22
01,,47,1,2,,,,,2089,81,248,61,29
01,,47,1,3,,,,,1396,78,280,43,46
01,,47,1,4,,,,,897,73,254,44,44
01,,47,1,5,,,,,848,109,372,88,99
01,,49,0,0,,,,,3150,48,153,20,14
01,,49,1,1,,,,,3391,76,184,28,17
01,,49,1,2,,,,,3630,138,331,54,40
01,,49,1,3,,,,,2376,143,372,35,63
01,,49,1,4,,,,,1507,131,366,58,84
01,,49,1,5,,,,,1167,168,470,80,145
01,,51,0,0,,,,,3434,90,252,27,27
01,,51,1,1,,,,,4334,128,323,35,31
01,,51,1,2,,,,,4238,184,511,52,56
01,,51,1,3,,,,,2882,198,575,63,71
01,,51,1,4,,,,,1754,182,543,63,93
01,,51,1,5,,,,,1448,216,704,97,194
01,,53,0,0,,,,,1884,27,90,,
01,,53,1,1,,,,,1884,57,135,,
01,,53,1,2,,,,,1812,66,180,23,22
01,,53,1,3,,,,,1346,75,226,31,26
01,,53,1,4,,,,,911,78,227,29,53
01,,53,1,5,,,,,818,98,361,56,88
01,,55,0,0,,,,,6152,133,379,87,41
01,,55,1,1,,,,,5448,129,357,77,35
01,,55,1,2,,,,,5844,225,623,112,83
01,,55,1,3,,,,,3725,225,634,109,112
01,,55,1,4,,,,,2467,199,629,115,131
01,,55,1,5,,,,,2186,286,919,205,271
01,,57,0,0,,,,,896,16,44,,
01,,57,1,1,,,,,860,26,60,,
01,,57,1,2,,,,,857,32,100,11,11
01,,57,1,3,,,,,588,30,108,12,14
01,,57,1,4,,,,,464,46,150,20,28
01,,57,1,5,,,,,358,58,181,22,46
01,,59,0,0,,,,,1496,21,71,13,
01,,59,1,1,,,,,1563,18,67,12,
01,,59,1,2,,,,,1610,46,142,25,17
01,,59,1,3,,,,,1096,53,188,22,28
01,,59,1,4,,,,,739,66,208,22,30
01,,59,1,5,,,,,659,81,294,66,80
01,,61,0,0,,,,,1374,21,77,,
01,,61,1,1,,,,,1467,26,71,,
01,,61,1,2,,,,,1584,77,183,23,19
01,,61,1,3,,,,,1094,41,153,23,25
01,,61,1,4,,,,,713,55,186,24,42
01,,61,1,5,,,,,646,90,267,44,65
01,,63,0,0,,,,,576,13,37,,
01,,63,1,1,,,,,548,18,51,,
01,,63,1,2,,,,,444,12,48,,
01,,63,1,3,,,,,260,26,65,,11
01,,63,1,4,,,,,188,14,50,,
01,,63,1,5,,,,,188,21,80,,22
01,,65,0,0,,,,,1333,27,78,18,
01,,65,1,1,,,,,975,28,81,14,
01,,65,1,2,,,,,875,42,126,13,18
01,,65,1,3,,,,,568,33,129,15,18
01,,65,1,4,,,,,369,34,108,21,17
01,,65,1,5,,,,,358,53,178,20,54
01,,67,0,0,,,,,920,,44,,
01,,67,1,1,,,,,1088,,51,,
01,,67,1,2,,,,,1159,37,99,,
01,,67,1,3,,,,,761,34,97,,19
01,,67,1,4,,,,,436,33,111,15,17
01,,67,1,5,,,,,386,39,172,19,45
01,,69,0,0,,,,,4997,99,298,30,21
01,,69,1,1,,,,,5200,117,293,22,23
01,,69,1,2,,,,,5197,175,490,49,60
01,,69,1,3,,,,,3779,169,528,59,69
01,,69,1,4,,,,,2235,201,598,82,110
01,,69,1,5,,,,,2232,331,981,150,248
01,,71,0,0,,,,,2574,47,134,11,14
01,,71,1,1,,,,,3184,53,143,17,22
01,,71,1,2,,,,,3287,98,276,27,36
01,,71,1,3,,,,,2314,115,313,35,50
01,,71,1,4,,,,,1494,120,380,46,84
01,,71,1,5,,,,,1187,152,448,61,123
